2019-08-01 04:34:38.066947: step 5, loss = 9.37 (24.7 examples/sec; 1.297 sec/batch)
2019-08-01 04:39:06.105817: step 205, loss = 7.05 (24.5 examples/sec; 1.304 sec/batch)
2019-08-01 04:39:12.668551: step 210, loss = 5.66 (24.4 examples/sec; 1.313 sec/batch)
2019-08-01 04:39:19.241594: step 215, loss = 5.71 (23.8 examples/sec; 1.343 sec/batch)
2019-08-01 04:39:25.769159: step 220, loss = 5.63 (24.6 examples/sec; 1.302 sec/batch)
2019-08-01 04:39:32.331933: step 225, loss = 5.73 (24.4 examples/sec; 1.311 sec/batch)
2019-08-01 04:39:38.880128: step 230, loss = 5.78 (24.4 examples/sec; 1.314 sec/batch)
2019-08-01 04:39:45.442041: step 235, loss = 6.34 (24.3 examples/sec; 1.315 sec/batch)
2019-08-01 04:39:51.970046: step 240, loss = 5.98 (24.6 examples/sec; 1.303 sec/batch)
2019-08-01 04:39:58.505797: step 245, loss = 6.19 (24.5 examples/sec; 1.304 sec/batch)
2019-08-01 04:40:05.076941: step 250, loss = 5.99 (24.3 examples/sec; 1.314 sec/batch)
2019-08-01 04:40:11.626272: step 255, loss = 5.69 (24.4 examples/sec; 1.314 sec/batch)
2019-08-01 04:40:18.164664: step 260, loss = 5.75 (24.6 examples/sec; 1.301 sec/batch)
2019-08-01 04:40:24.709854: step 265, loss = 5.79 (24.5 examples/sec; 1.307 sec/batch)
2019-08-01 04:40:31.273889: step 270, loss = 5.96 (24.4 examples/sec; 1.313 sec/batch)
2019-08-01 04:40:37.838106: step 275, loss = 6.50 (24.3 examples/sec; 1.317 sec/batch)
2019-08-01 04:40:44.383783: step 280, loss = 5.71 (24.5 examples/sec; 1.306 sec/batch)
2019-08-01 04:40:50.927667: step 285, loss = 5.76 (24.5 examples/sec; 1.307 sec/batch)
2019-08-01 04:40:57.477872: step 290, loss = 5.87 (24.5 examples/sec; 1.304 sec/batch)
2019-08-01 04:41:04.023152: step 295, loss = 6.11 (24.4 examples/sec; 1.309 sec/batch)
2019-08-01 04:41:10.567551: step 300, loss = 6.19 (24.7 examples/sec; 1.298 sec/batch)
2019-08-01 04:41:20.066977: step 305, loss = 6.26 (24.3 examples/sec; 1.316 sec/batch)
2019-08-01 04:41:26.645300: step 310, loss = 5.49 (24.4 examples/sec; 1.309 sec/batch)
