2019-08-01 04:23:55.653827: step 5, loss = 11.79 (26.0 examples/sec; 1.231 sec/batch)
2019-08-01 04:26:19.673597: step 120, loss = 5.70 (26.2 examples/sec; 1.220 sec/batch)
2019-08-01 04:26:25.798545: step 125, loss = 6.33 (26.1 examples/sec; 1.226 sec/batch)
2019-08-01 04:26:31.908885: step 130, loss = 5.89 (26.1 examples/sec; 1.225 sec/batch)
2019-08-01 04:26:37.988424: step 135, loss = 5.91 (26.4 examples/sec; 1.212 sec/batch)
2019-08-01 04:26:44.076553: step 140, loss = 5.91 (26.4 examples/sec; 1.214 sec/batch)
2019-08-01 04:26:50.174456: step 145, loss = 7.38 (26.2 examples/sec; 1.221 sec/batch)
2019-08-01 04:26:56.255144: step 150, loss = 6.84 (26.4 examples/sec; 1.212 sec/batch)
2019-08-01 04:27:02.323390: step 155, loss = 5.86 (26.3 examples/sec; 1.218 sec/batch)
2019-08-01 04:27:08.396234: step 160, loss = 5.79 (26.2 examples/sec; 1.223 sec/batch)
2019-08-01 04:27:14.475876: step 165, loss = 6.12 (26.2 examples/sec; 1.222 sec/batch)
2019-08-01 04:27:20.537877: step 170, loss = 6.25 (26.4 examples/sec; 1.214 sec/batch)
2019-08-01 04:27:26.600387: step 175, loss = 5.98 (26.5 examples/sec; 1.208 sec/batch)
2019-08-01 04:27:32.650708: step 180, loss = 6.72 (26.6 examples/sec; 1.202 sec/batch)
2019-08-01 04:27:38.741493: step 185, loss = 5.83 (26.1 examples/sec; 1.227 sec/batch)
2019-08-01 04:27:44.832905: step 190, loss = 6.50 (26.5 examples/sec; 1.208 sec/batch)
2019-08-01 04:27:50.878728: step 195, loss = 6.31 (26.4 examples/sec; 1.211 sec/batch)
2019-08-01 04:27:56.986205: step 200, loss = 6.58 (26.1 examples/sec; 1.226 sec/batch)
2019-08-01 04:28:06.882262: step 205, loss = 6.29 (26.3 examples/sec; 1.218 sec/batch)
2019-08-01 04:28:12.938653: step 210, loss = 5.66 (26.6 examples/sec; 1.204 sec/batch)
2019-08-01 04:28:18.989702: step 215, loss = 6.20 (26.5 examples/sec; 1.208 sec/batch)
2019-08-01 04:28:25.086020: step 220, loss = 5.79 (26.3 examples/sec; 1.219 sec/batch)
2019-08-01 04:28:31.161400: step 225, loss = 5.61 (26.1 examples/sec; 1.226 sec/batch)
2019-08-01 04:28:37.253170: step 230, loss = 5.90 (26.3 examples/sec; 1.216 sec/batch)
2019-08-01 04:28:43.334545: step 235, loss = 5.82 (26.4 examples/sec; 1.211 sec/batch)
2019-08-01 04:28:49.410375: step 240, loss = 5.79 (26.5 examples/sec; 1.208 sec/batch)
2019-08-01 04:28:55.496401: step 245, loss = 6.04 (26.6 examples/sec; 1.204 sec/batch)
2019-08-01 04:29:01.568193: step 250, loss = 6.34 (26.1 examples/sec; 1.227 sec/batch)
2019-08-01 04:29:07.627796: step 255, loss = 6.25 (26.7 examples/sec; 1.197 sec/batch)
2019-08-01 04:29:13.697801: step 260, loss = 6.48 (26.4 examples/sec; 1.211 sec/batch)
2019-08-01 04:29:19.781367: step 265, loss = 6.10 (26.3 examples/sec; 1.215 sec/batch)
2019-08-01 04:29:25.849603: step 270, loss = 5.65 (26.5 examples/sec; 1.208 sec/batch)
2019-08-01 04:29:31.925375: step 275, loss = 6.05 (26.4 examples/sec; 1.212 sec/batch)
2019-08-01 04:29:37.974159: step 280, loss = 6.03 (26.6 examples/sec; 1.205 sec/batch)
2019-08-01 04:29:44.055748: step 285, loss = 6.51 (26.4 examples/sec; 1.214 sec/batch)
2019-08-01 04:29:50.138404: step 290, loss = 5.72 (26.3 examples/sec; 1.217 sec/batch)
2019-08-01 04:29:56.200834: step 295, loss = 5.98 (26.5 examples/sec; 1.210 sec/batch)
2019-08-01 04:30:02.258808: step 300, loss = 5.80 (26.3 examples/sec; 1.219 sec/batch)
2019-08-01 04:30:11.521423: step 305, loss = 5.74 (26.2 examples/sec; 1.223 sec/batch)
2019-08-01 04:30:17.630114: step 310, loss = 6.12 (25.9 examples/sec; 1.235 sec/batch)
