2019-07-08 14:15:58.062335: step 10, loss = 160.68 (4.8 examples/sec; 0.207 sec/batch)
2019-07-08 14:18:31.708892: step 740, loss = 6.98 (5.3 examples/sec; 0.188 sec/batch)
2019-07-08 14:18:33.644192: step 750, loss = 6.94 (5.2 examples/sec; 0.192 sec/batch)
2019-07-08 14:18:35.566691: step 760, loss = 5.93 (5.3 examples/sec; 0.189 sec/batch)
2019-07-08 14:18:37.490133: step 770, loss = 7.17 (5.3 examples/sec; 0.189 sec/batch)
2019-07-08 14:18:39.537214: step 780, loss = 5.87 (4.9 examples/sec; 0.203 sec/batch)
2019-07-08 14:18:41.619688: step 790, loss = 8.27 (4.8 examples/sec; 0.208 sec/batch)
2019-07-08 14:18:43.698415: step 800, loss = 6.09 (5.2 examples/sec; 0.192 sec/batch)
2019-07-08 14:18:47.344074: step 810, loss = 6.24 (5.1 examples/sec; 0.195 sec/batch)
2019-07-08 14:18:49.268753: step 820, loss = 6.34 (5.3 examples/sec; 0.187 sec/batch)
2019-07-08 14:18:51.199082: step 830, loss = 7.57 (5.0 examples/sec; 0.201 sec/batch)
2019-07-08 14:18:53.112900: step 840, loss = 6.11 (5.3 examples/sec; 0.188 sec/batch)
2019-07-08 14:18:55.048166: step 850, loss = 7.29 (5.3 examples/sec; 0.189 sec/batch)
2019-07-08 14:18:56.983373: step 860, loss = 7.65 (4.7 examples/sec; 0.212 sec/batch)
2019-07-08 14:18:59.187983: step 870, loss = 6.37 (4.5 examples/sec; 0.221 sec/batch)
2019-07-08 14:19:01.187392: step 880, loss = 6.75 (5.2 examples/sec; 0.194 sec/batch)
2019-07-08 14:19:03.114913: step 890, loss = 7.41 (5.4 examples/sec; 0.187 sec/batch)
2019-07-08 14:19:05.079930: step 900, loss = 7.46 (5.2 examples/sec; 0.192 sec/batch)
2019-07-08 14:19:08.708262: step 910, loss = 7.38 (4.8 examples/sec; 0.209 sec/batch)
2019-07-08 14:19:10.624546: step 920, loss = 7.86 (5.4 examples/sec; 0.187 sec/batch)
2019-07-08 14:19:12.544647: step 930, loss = 6.67 (5.3 examples/sec; 0.189 sec/batch)
2019-07-08 14:19:14.465787: step 940, loss = 5.65 (5.3 examples/sec; 0.190 sec/batch)
2019-07-08 14:19:16.398253: step 950, loss = 5.94 (5.3 examples/sec; 0.189 sec/batch)
2019-07-08 14:19:18.308757: step 960, loss = 9.50 (5.2 examples/sec; 0.192 sec/batch)
2019-07-08 14:19:20.219475: step 970, loss = 7.48 (5.4 examples/sec; 0.186 sec/batch)
2019-07-08 14:19:22.120254: step 980, loss = 7.57 (5.3 examples/sec; 0.188 sec/batch)
2019-07-08 14:19:24.041375: step 990, loss = 6.81 (5.4 examples/sec; 0.186 sec/batch)
2019-07-08 14:19:25.945071: step 1000, loss = 7.90 (5.1 examples/sec; 0.195 sec/batch)
