2019-07-08 13:56:47.565155: step 10, loss = 10.25 (5.6 examples/sec; 0.178 sec/batch)
2019-07-08 13:58:11.865524: step 410, loss = 9.95 (5.1 examples/sec; 0.196 sec/batch)
2019-07-08 13:58:13.834664: step 420, loss = 7.30 (5.1 examples/sec; 0.197 sec/batch)
2019-07-08 13:58:15.864757: step 430, loss = 6.54 (4.7 examples/sec; 0.213 sec/batch)
2019-07-08 13:58:18.006692: step 440, loss = 6.52 (4.7 examples/sec; 0.212 sec/batch)
2019-07-08 13:58:20.162087: step 450, loss = 6.70 (4.7 examples/sec; 0.215 sec/batch)
2019-07-08 13:58:22.133284: step 460, loss = 8.67 (5.1 examples/sec; 0.195 sec/batch)
2019-07-08 13:58:24.083248: step 470, loss = 8.83 (4.9 examples/sec; 0.204 sec/batch)
2019-07-08 13:58:26.041623: step 480, loss = 6.53 (5.1 examples/sec; 0.195 sec/batch)
2019-07-08 13:58:28.009372: step 490, loss = 6.70 (5.1 examples/sec; 0.195 sec/batch)
2019-07-08 13:58:29.957663: step 500, loss = 6.89 (5.1 examples/sec; 0.196 sec/batch)
2019-07-08 13:58:33.967500: step 510, loss = 8.44 (5.0 examples/sec; 0.199 sec/batch)
2019-07-08 13:58:35.908562: step 520, loss = 8.97 (5.3 examples/sec; 0.190 sec/batch)
2019-07-08 13:58:37.860173: step 530, loss = 7.09 (5.3 examples/sec; 0.190 sec/batch)
2019-07-08 13:58:39.841224: step 540, loss = 9.19 (5.0 examples/sec; 0.199 sec/batch)
2019-07-08 13:58:41.817159: step 550, loss = 7.60 (4.9 examples/sec; 0.202 sec/batch)
2019-07-08 13:58:43.773364: step 560, loss = 7.14 (5.0 examples/sec; 0.200 sec/batch)
2019-07-08 13:58:45.711154: step 570, loss = 6.83 (5.2 examples/sec; 0.193 sec/batch)
2019-07-08 13:58:47.666309: step 580, loss = 6.12 (5.2 examples/sec; 0.191 sec/batch)
2019-07-08 13:58:49.628417: step 590, loss = 7.00 (5.1 examples/sec; 0.195 sec/batch)
2019-07-08 13:58:51.607713: step 600, loss = 6.76 (5.1 examples/sec; 0.195 sec/batch)
2019-07-08 13:58:55.256871: step 610, loss = 7.77 (5.1 examples/sec; 0.195 sec/batch)
2019-07-08 13:58:57.208543: step 620, loss = 6.60 (5.2 examples/sec; 0.193 sec/batch)
2019-07-08 13:58:59.169721: step 630, loss = 6.51 (5.3 examples/sec; 0.189 sec/batch)
2019-07-08 13:59:01.142140: step 640, loss = 7.95 (5.2 examples/sec; 0.193 sec/batch)
2019-07-08 13:59:03.108420: step 650, loss = 8.00 (5.3 examples/sec; 0.189 sec/batch)
2019-07-08 13:59:05.075045: step 660, loss = 7.60 (5.3 examples/sec; 0.190 sec/batch)
2019-07-08 13:59:07.034198: step 670, loss = 9.45 (5.1 examples/sec; 0.196 sec/batch)
2019-07-08 13:59:08.984284: step 680, loss = 6.63 (5.1 examples/sec; 0.196 sec/batch)
2019-07-08 13:59:10.963148: step 690, loss = 6.19 (5.2 examples/sec; 0.191 sec/batch)
2019-07-08 13:59:12.972231: step 700, loss = 7.21 (5.0 examples/sec; 0.202 sec/batch)
2019-07-08 13:59:16.624436: step 710, loss = 10.29 (5.0 examples/sec; 0.200 sec/batch)
2019-07-08 13:59:18.590832: step 720, loss = 10.94 (5.1 examples/sec; 0.197 sec/batch)
2019-07-08 13:59:20.563359: step 730, loss = 7.13 (5.2 examples/sec; 0.191 sec/batch)
2019-07-08 13:59:22.505982: step 740, loss = 8.41 (5.1 examples/sec; 0.196 sec/batch)
2019-07-08 13:59:24.489364: step 750, loss = 7.52 (5.2 examples/sec; 0.192 sec/batch)
2019-07-08 13:59:26.461562: step 760, loss = 7.57 (5.2 examples/sec; 0.193 sec/batch)
2019-07-08 13:59:28.441243: step 770, loss = 7.90 (5.1 examples/sec; 0.198 sec/batch)
2019-07-08 13:59:30.395591: step 780, loss = 8.28 (5.3 examples/sec; 0.190 sec/batch)
2019-07-08 13:59:32.345265: step 790, loss = 8.99 (5.1 examples/sec; 0.197 sec/batch)
2019-07-08 13:59:34.340341: step 800, loss = 8.28 (5.1 examples/sec; 0.195 sec/batch)
2019-07-08 13:59:37.986272: step 810, loss = 6.91 (5.1 examples/sec; 0.195 sec/batch)
2019-07-08 13:59:39.967576: step 820, loss = 7.82 (4.9 examples/sec; 0.206 sec/batch)
2019-07-08 13:59:41.943749: step 830, loss = 7.90 (5.1 examples/sec; 0.194 sec/batch)
2019-07-08 13:59:43.904793: step 840, loss = 6.57 (5.0 examples/sec; 0.202 sec/batch)
2019-07-08 13:59:45.872194: step 850, loss = 8.46 (5.0 examples/sec; 0.201 sec/batch)
2019-07-08 13:59:47.806648: step 860, loss = 8.43 (5.0 examples/sec; 0.200 sec/batch)
2019-07-08 13:59:49.766450: step 870, loss = 8.37 (5.0 examples/sec; 0.200 sec/batch)
2019-07-08 13:59:51.722386: step 880, loss = 7.31 (5.2 examples/sec; 0.193 sec/batch)
2019-07-08 13:59:53.688264: step 890, loss = 7.38 (5.2 examples/sec; 0.193 sec/batch)
2019-07-08 13:59:55.644726: step 900, loss = 7.99 (5.1 examples/sec; 0.197 sec/batch)
2019-07-08 13:59:59.315987: step 910, loss = 6.94 (5.2 examples/sec; 0.192 sec/batch)
2019-07-08 14:00:01.252568: step 920, loss = 7.98 (5.1 examples/sec; 0.197 sec/batch)
2019-07-08 14:00:03.179345: step 930, loss = 6.91 (5.2 examples/sec; 0.192 sec/batch)
2019-07-08 14:00:05.121454: step 940, loss = 7.73 (5.3 examples/sec; 0.189 sec/batch)
2019-07-08 14:00:07.064267: step 950, loss = 7.51 (5.1 examples/sec; 0.197 sec/batch)
2019-07-08 14:00:09.043000: step 960, loss = 6.69 (5.2 examples/sec; 0.192 sec/batch)
2019-07-08 14:00:10.997985: step 970, loss = 8.86 (5.1 examples/sec; 0.195 sec/batch)
2019-07-08 14:00:12.960837: step 980, loss = 7.15 (5.2 examples/sec; 0.191 sec/batch)
2019-07-08 14:00:14.896363: step 990, loss = 6.86 (5.2 examples/sec; 0.191 sec/batch)
2019-07-08 14:00:16.902538: step 1000, loss = 7.01 (4.7 examples/sec; 0.211 sec/batch)
